Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ПЕРВАЯ СБЕРЕГАТЕЛЬНАЯ КАССА. ВКЛАДЫ И ЗАЙМЫ""",Признаки нелегального кредитора,1901129227,"655017, Республика Хакасия, г. Абакан, ул. Кирова, д. 97",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЗАХАРЬЕВСКАЯ 15""",Признаки нелегального кредитора,7841066002,"191123, г. Санкт-Петербург, ул. Захарьевская, д.15, литер А, помещение 7Н",,01.02.2021
GLOBAL INTERGOLD ONLINE LTD,Признаки финансовой пирамиды,,,"globalintergold.com, globalintergold.info, globalmoney.myintergold.com.",01.02.2021
"Yardoption, IFIU Global Corp,  Roxmark Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,yardoption.com,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИДЖИТАЛ СМАРТ СИСТЕМС"" (ДCC)",Признаки финансовой пирамиды,7704464308,"125009, г. Москва, ул. Воздвиженка, д. 7/6, стр. 1, комн. 6","digitalsmartsystem.ru, dss-digitalsmartsystem.ru, dss.group",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАШ ФИНАНСОВЫЙ ПОМОЩНИК""",Признаки финансовой пирамиды,7703426797,"123112, г. Москва, Пресненская набережная, д. 8, стр. 1 оф. 551С",v-f-p.ru,01.06.2021
"ArtFX.pro, Art Sea Group Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,artfx.pro ,01.02.2021
"Bulltraders, BT Technologies LTD",Признаки нелегального профессионального участника рынка ценных бумаг,,,bulltraders.com,01.06.2021
"""SUPRAFN SERVICES"" EOOD/""SUPRAFN"" LTD (SUPRAFN)",Признаки нелегального профессионального участника рынка ценных бумаг,,"1324, City of Sofia Municipality, Liulin District, Silver Business Centre, 28 Djavaharlal Neru Str., of. 24",suprafn.com,01.02.2021
CHANGE-EXSPRESS,Признаки финансовой пирамиды,,,change-exspress.net,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОФИНАНСОВАЯ КОМПАНИЯ ""ПИКТЕТ""",Признаки нелегального кредитора,7733261454,"125371, г. Москва, Волокамское шоссе, д. 89, корп. 1, стр. 2, ком. 224",Piktet.ru,01.02.2021
"Richfield Capital Limited, 24option",Признаки нелегального профессионального участника рынка ценных бумаг,,,24option.com,01.02.2021
"Teres Media Limited, Ashford Investments",Признаки нелегального профессионального участника рынка ценных бумаг,,,ashfordinvestment.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОЛИЗИНГ СТОЛИЦА""",Признаки нелегального кредитора,7714997753,"125167, г. Москва, аллея Нарышкинская, д. 5, стр. 2, комн. 34",narcredit.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОЛИЗИНГ ЮГ""",Признаки нелегального кредитора,7725493130,"115533, г. Москва, пр. Андропова, д. 22, эт. 8, пом. I, комн. 39, 39А",narcredit.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОЛИЗИНГ ЮГО-ЗАПАД""",Признаки нелегального кредитора,7728422113,"119421, г. Москва, ул. Новаторов, д. 7А, корп. 2, эт. 2, пом. 31А",narcredit.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТОЛИЧНЫЙ ЛИЗИНГ""",Признаки нелегального кредитора,9705116240,"109544, г. Москва, бульвар Энтузиастов, д. 2, эт. 8, комн. 23",narcredit.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПРЕСС ЛИЗИНГ""",Признаки нелегального кредитора,7714427584,"125167, г. Москва, аллея Нарышкинская, д. 5, стр. 2, эт. 3, пом. V K 35, оф. 301",narcredit.ru,01.02.2021
IQOPTION PAYMENT LTD (IQ Option),Признаки нелегального профессионального участника рынка ценных бумаг,,"John, 20, Floor 4, Flat 401, 2406 Nicosia, Cyprus","iqoption.com, forex.md",01.02.2021
"Emporiotrading, Emporio Тrading LTD",Признаки нелегального профессионального участника рынка ценных бумаг,,,emporiotrading.com,01.02.2021
GAINSY,Признаки нелегального профессионального участника рынка ценных бумаг,,,gainsy.com,01.02.2021
Lite Forex Investments Limited ,Признаки нелегального профессионального участника рынка ценных бумаг,,"Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of Marshall Islands, MH96960","liteforex.com, forexсent.com",01.02.2021
"АКЦИОНЕРНОЕ ОБЩЕСТВО МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ПАРМА-МИКРОФИНАНС""",Признаки нелегального кредитора,5902049557,"614000, Пермский край, г. Пермь, ул. Газеты Звезда, д. 12, оф. 214",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАКСФИН""",Признаки нелегального кредитора,2320080143,"354000, Краснодарский край, г. Сочи, ул. Горького (Центральный район), д. 87, офис 44",taxfin24.ru,01.02.2021
"Tech Marketing LLC (UFT Group, PURE FIN Ltd)",Признаки нелегального профессионального участника рынка ценных бумаг,,"Kvartal Manastirski livadi, Todor Kableshkov, 53, bl.-, vh. A, ET 2, ap. 4B, 1404 Sofia, Bulgaria","uftgroup.com, uftgroup.vip",01.02.2021
"Agro Base LP, BNB Option",Признаки нелегального профессионального участника рынка ценных бумаг,,,"bnboptions.com, bnb-options.com",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ОРДЕН 1119""",Признаки нелегального кредитора,3443136366,"400137, Волгоградская область, г. Волгоград, бульвар 30-летия Победы, д. 11Д, каб. 1.23","A134.RU, podzalog34.ru",01.06.2021
"Nmarkets Limited, NPBFX",Признаки нелегального профессионального участника рынка ценных бумаг,,"Suite 305, Griffith Corporate Centre, Beachmont, Kingstown, Saint Vincent and the Grenadines","npbfx.org, npbfx.com",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЮГРА ФИНАНС""",Признаки нелегального кредитора,8615001934,"628242, Ханты-Мансийский автономный округ - Югра, Район Советский, г. Советский, улица Гагарина, дом 8, квартира 17","pzaim.ru, ugra-finance.ru, ugra-fin.ru, pro-sto-kredit.ru, prostokredit.ru, ugra-finans.ru",01.06.2021
"Interactive Brokers Group Inc. (InteractiveBrokers, IBG.Inc)",Признаки нелегального профессионального участника рынка ценных бумаг,,"1, Pickwick Plaza Greenwich, CT 06830, USA","interactivebrokers.co.uk, interactivebrokers.com",01.02.2021
LARSON AND HOLZ IT Ltd,Признаки нелегального профессионального участника рынка ценных бумаг,,"The Financial Services Centre, Stoney Ground, Kingstown, Saint Vincent And The Grenadines, KINGSTOWN",lh-broker.biz,01.02.2021
Belistar Holding LP ,Признаки финансовой пирамиды,,"Suite 8011 17 Union Street, Dundee, Scotland, DD1 4BG",belistarlp.com,01.02.2021
"Global Decentralized Community Limited_UK, Global ",Признаки финансовой пирамиды,,"76 Buckingham Palace RD SW1W 9TQ London, United Kingdom","global-decentralized-community.ru, gdc.group, gdc-invest.com",01.02.2021
Global Decentralized Community Limited_US,Признаки финансовой пирамиды,,"1100 Howell ST, Seattle, WA, 98101, United States, Washington","global-decentralized-community.ru, gdc.group, gdc-invest.com",01.02.2021
Global Decentralized Community NIR Limited,Признаки финансовой пирамиды,,"20 Talbot ST, BT1 2LS Belfast, County Antrim, United Kingdom","global-decentralized-community.ru, gdc.group, gdc-invest.com",01.02.2021
Global Decentralized Community PTY LTD,Признаки финансовой пирамиды,,"91-93 Marsden ST 2150 Parramatta, Australia","global-decentralized-community.ru, gdc.group, gdc-invest.com",01.02.2021
Global Decentralized Community SCT Limited,Признаки финансовой пирамиды,,"490 Argyle ST, G2 8AJ Glasgow, Lanarkshire, United Kingdom","global-decentralized-community.ru, gdc.group, gdc-invest.com",01.02.2021
Global Decentralized Community WLS Limited,Признаки финансовой пирамиды,,"33 the Hayes, CF10 1 GA Cardiff, South Glamorgan, United Kingdom","global-decentralized-community.ru, gdc.group, gdc-invest.com",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВТОЛОМБАРД-А"" ",Признаки нелегального кредитора,5012071527,"143988, Московская обл., г. Балашиха, микрорайон Павлино, 1Б",autolombard-a.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ""ЖИЗНЬ""",Признаки нелегального кредитора,7728873772,"119002, г. Москва, ул. Арбат, д. 10.",life-car.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРЕВ ГРУПП""",Признаки финансовой пирамиды,9701087415,"105066, г. Москва, ул. Новорязанская, д. 26, стр. 1, эт. 1, пом II, к. 12","marevgroup.ru, доходныйдом.com.",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРЕВ ИНВЕСТ""",Признаки финансовой пирамиды,5032298734,"143082, Московская обл., Одинцовский р-н, дер. Раздоры, 1 километр, д. 1, эт. 2, комн. 11",marevinvest.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЖДУНАРОДНАЯ ИНВЕСТИЦИОННАЯ КОМПАНИЯ""",Признаки нелегального кредитора,7707818876,"127051, г. Москва, бульвар Цветной, д. 11, стр. 6",moscow-money24.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАЛОГОВЫЙ ДОМ СЕВЕРНЫЙ""",Признаки нелегального кредитора,7733837040,"125362, г. Москва, ул. Свободы, д.31, стр. 1, эт. 1",nordkredit.ru,01.02.2021
Техноскупка,Признаки нелегального кредитора,,"350001, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 108;350072, Краснодарский край, г. Краснодар, ул. Московская, д. 65;350000, Краснодарский край, г. Краснодар, ул. Красноармейская, д. 62;350058, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 189/1;400123, Краснодарский край, г. Волгоград, ул. Еременко, д. 128",tehnoskupka.ru,01.02.2021
"""Strongcastle"" OU (GLOBAL PALACE)",Признаки нелегального профессионального участника рынка ценных бумаг,,"Estonia, PST5-309B, 10143 Tallin, Hajru",global-palace.com,01.02.2021
